"","ANO","NIVEL","CODMUNRES","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F"
"1",2015,"UF","25","0,703",NA,"0,618","0,69"
"2",2015,"MUNICIPIO","2500106",NA,0.587,NA,NA
"3",2015,"MUNICIPIO","2500205",NA,0.597,NA,NA
"4",2015,"MUNICIPIO","2500304",NA,0.582,NA,NA
"5",2015,"MUNICIPIO","2500403",NA,0.576,NA,NA
"6",2015,"MUNICIPIO","2500502",NA,0.597,NA,NA
"7",2015,"MUNICIPIO","2500536",NA,0.578,NA,NA
"8",2015,"MUNICIPIO","2500577",NA,0.548,NA,NA
"9",2015,"MUNICIPIO","2500601",NA,0.582,NA,NA
"10",2015,"MUNICIPIO","2500700",NA,0.608,NA,NA
"11",2015,"MUNICIPIO","2500734",NA,0.696,NA,NA
"12",2015,"MUNICIPIO","2500775",NA,0.666,NA,NA
"13",2015,"MUNICIPIO","2500809",NA,0.549,NA,NA
"14",2015,"MUNICIPIO","2500908",NA,0.548,NA,NA
"15",2015,"MUNICIPIO","2501005",NA,0.635,NA,NA
"16",2015,"MUNICIPIO","2501104",NA,0.594,NA,NA
"17",2015,"MUNICIPIO","2501153",NA,0.562,NA,NA
"18",2015,"MUNICIPIO","2501203",NA,0.608,NA,NA
"19",2015,"MUNICIPIO","2501302",NA,0.548,NA,NA
"20",2015,"MUNICIPIO","2501351",NA,0.609,NA,NA
"21",2015,"MUNICIPIO","2501401",NA,0.581,NA,NA
"22",2015,"MUNICIPIO","2501500",NA,0.568,NA,NA
"23",2015,"MUNICIPIO","2501534",NA,0.566,NA,NA
"24",2015,"MUNICIPIO","2501575",NA,0.567,NA,NA
"25",2015,"MUNICIPIO","2501609",NA,0.562,NA,NA
"26",2015,"MUNICIPIO","2501708",NA,0.593,NA,NA
"27",2015,"MUNICIPIO","2501807",NA,0.649,NA,NA
"28",2015,"MUNICIPIO","2501906",NA,0.644,NA,NA
"29",2015,"MUNICIPIO","2502003",NA,0.578,NA,NA
"30",2015,"MUNICIPIO","2502052",NA,0.558,NA,NA
"31",2015,"MUNICIPIO","2502102",NA,0.599,NA,NA
"32",2015,"MUNICIPIO","2502151",NA,0.701,NA,NA
"33",2015,"MUNICIPIO","2502201",NA,0.647,NA,NA
"34",2015,"MUNICIPIO","2502300",NA,0.657,NA,NA
"35",2015,"MUNICIPIO","2502409",NA,0.574,NA,NA
"36",2015,"MUNICIPIO","2502508",NA,0.607,NA,NA
"37",2015,"MUNICIPIO","2502607",NA,0.61,NA,NA
"38",2015,"MUNICIPIO","2502706",NA,0.644,NA,NA
"39",2015,"MUNICIPIO","2502805",NA,0.597,NA,NA
"40",2015,"MUNICIPIO","2502904",NA,0.619,NA,NA
"41",2015,"MUNICIPIO","2503001",NA,0.602,NA,NA
"42",2015,"MUNICIPIO","2503100",NA,0.611,NA,NA
"43",2015,"MUNICIPIO","2503209",NA,0.748,NA,NA
"44",2015,"MUNICIPIO","2503308",NA,0.587,NA,NA
"45",2015,"MUNICIPIO","2503407",NA,0.596,NA,NA
"46",2015,"MUNICIPIO","2503506",NA,0.564,NA,NA
"47",2015,"MUNICIPIO","2503555",NA,0.523,NA,NA
"48",2015,"MUNICIPIO","2503605",NA,0.645,NA,NA
"49",2015,"MUNICIPIO","2503704",NA,0.679,NA,NA
"50",2015,"MUNICIPIO","2503753",NA,0.55,NA,NA
"51",2015,"MUNICIPIO","2503803",NA,0.568,NA,NA
"52",2015,"MUNICIPIO","2503902",NA,0.567,NA,NA
"53",2015,"MUNICIPIO","2504009",NA,0.72,NA,NA
"54",2015,"MUNICIPIO","2504033",NA,0.533,NA,NA
"55",2015,"MUNICIPIO","2504074",NA,0.611,NA,NA
"56",2015,"MUNICIPIO","2504108",NA,0.603,NA,NA
"57",2015,"MUNICIPIO","2504157",NA,0.514,NA,NA
"58",2015,"MUNICIPIO","2504207",NA,0.574,NA,NA
"59",2015,"MUNICIPIO","2504306",NA,0.64,NA,NA
"60",2015,"MUNICIPIO","2504355",NA,0.623,NA,NA
"61",2015,"MUNICIPIO","2504405",NA,0.592,NA,NA
"62",2015,"MUNICIPIO","2504504",NA,0.598,NA,NA
"63",2015,"MUNICIPIO","2504603",NA,0.589,NA,NA
"64",2015,"MUNICIPIO","2504702",NA,0.581,NA,NA
"65",2015,"MUNICIPIO","2504801",NA,0.592,NA,NA
"66",2015,"MUNICIPIO","2504850",NA,0.641,NA,NA
"67",2015,"MUNICIPIO","2504900",NA,0.552,NA,NA
"68",2015,"MUNICIPIO","2505006",NA,0.566,NA,NA
"69",2015,"MUNICIPIO","2505105",NA,0.591,NA,NA
"70",2015,"MUNICIPIO","2505204",NA,0.57,NA,NA
"71",2015,"MUNICIPIO","2505238",NA,0.524,NA,NA
"72",2015,"MUNICIPIO","2505279",NA,0.529,NA,NA
"73",2015,"MUNICIPIO","2505303",NA,0.606,NA,NA
"74",2015,"MUNICIPIO","2505352",NA,0.521,NA,NA
"75",2015,"MUNICIPIO","2505402",NA,0.58,NA,NA
"76",2015,"MUNICIPIO","2505501",NA,0.566,NA,NA
"77",2015,"MUNICIPIO","2505600",NA,0.593,NA,NA
"78",2015,"MUNICIPIO","2505709",NA,0.545,NA,NA
"79",2015,"MUNICIPIO","2505808",NA,0.603,NA,NA
"80",2015,"MUNICIPIO","2505907",NA,0.595,NA,NA
"81",2015,"MUNICIPIO","2506004",NA,0.623,NA,NA
"82",2015,"MUNICIPIO","2506103",NA,0.56,NA,NA
"83",2015,"MUNICIPIO","2506202",NA,0.641,NA,NA
"84",2015,"MUNICIPIO","2506251",NA,0.513,NA,NA
"85",2015,"MUNICIPIO","2506301",NA,0.673,NA,NA
"86",2015,"MUNICIPIO","2506400",NA,0.556,NA,NA
"87",2015,"MUNICIPIO","2506509",NA,0.625,NA,NA
"88",2015,"MUNICIPIO","2506608",NA,0.586,NA,NA
"89",2015,"MUNICIPIO","2506707",NA,0.557,NA,NA
"90",2015,"MUNICIPIO","2506806",NA,0.592,NA,NA
"91",2015,"MUNICIPIO","2506905",NA,0.627,NA,NA
"92",2015,"MUNICIPIO","2507002",NA,0.667,NA,NA
"93",2015,"MUNICIPIO","2507101",NA,0.564,NA,NA
"94",2015,"MUNICIPIO","2507200",NA,0.562,NA,NA
"95",2015,"MUNICIPIO","2507309",NA,0.558,NA,NA
"96",2015,"MUNICIPIO","2507408",NA,0.603,NA,NA
"97",2015,"MUNICIPIO","2507507",NA,0.763,NA,NA
"98",2015,"MUNICIPIO","2507606",NA,0.579,NA,NA
"99",2015,"MUNICIPIO","2507705",NA,0.567,NA,NA
"100",2015,"MUNICIPIO","2507804",NA,0.617,NA,NA
"101",2015,"MUNICIPIO","2507903",NA,0.548,NA,NA
"102",2015,"MUNICIPIO","2508000",NA,0.57,NA,NA
"103",2015,"MUNICIPIO","2508109",NA,0.563,NA,NA
"104",2015,"MUNICIPIO","2508208",NA,0.57,NA,NA
"105",2015,"MUNICIPIO","2508307",NA,0.627,NA,NA
"106",2015,"MUNICIPIO","2508406",NA,0.533,NA,NA
"107",2015,"MUNICIPIO","2508505",NA,0.566,NA,NA
"108",2015,"MUNICIPIO","2508554",NA,0.583,NA,NA
"109",2015,"MUNICIPIO","2508604",NA,0.583,NA,NA
"110",2015,"MUNICIPIO","2508703",NA,0.542,NA,NA
"111",2015,"MUNICIPIO","2508802",NA,0.642,NA,NA
"112",2015,"MUNICIPIO","2508901",NA,0.585,NA,NA
"113",2015,"MUNICIPIO","2509008",NA,0.543,NA,NA
"114",2015,"MUNICIPIO","2509057",NA,0.529,NA,NA
"115",2015,"MUNICIPIO","2509107",NA,0.548,NA,NA
"116",2015,"MUNICIPIO","2509156",NA,0.608,NA,NA
"117",2015,"MUNICIPIO","2509206",NA,0.67,NA,NA
"118",2015,"MUNICIPIO","2509305",NA,0.536,NA,NA
"119",2015,"MUNICIPIO","2509339",NA,0.541,NA,NA
"120",2015,"MUNICIPIO","2509370",NA,0.565,NA,NA
"121",2015,"MUNICIPIO","2509396",NA,0.572,NA,NA
"122",2015,"MUNICIPIO","2509404",NA,0.574,NA,NA
"123",2015,"MUNICIPIO","2509503",NA,0.59,NA,NA
"124",2015,"MUNICIPIO","2509602",NA,0.587,NA,NA
"125",2015,"MUNICIPIO","2509701",NA,0.628,NA,NA
"126",2015,"MUNICIPIO","2509800",NA,0.586,NA,NA
"127",2015,"MUNICIPIO","2509909",NA,0.541,NA,NA
"128",2015,"MUNICIPIO","2510006",NA,0.562,NA,NA
"129",2015,"MUNICIPIO","2510105",NA,0.601,NA,NA
"130",2015,"MUNICIPIO","2510204",NA,0.61,NA,NA
"131",2015,"MUNICIPIO","2510303",NA,0.595,NA,NA
"132",2015,"MUNICIPIO","2510402",NA,0.572,NA,NA
"133",2015,"MUNICIPIO","2510501",NA,0.603,NA,NA
"134",2015,"MUNICIPIO","2510600",NA,0.614,NA,NA
"135",2015,"MUNICIPIO","2510659",NA,0.584,NA,NA
"136",2015,"MUNICIPIO","2510709",NA,0.605,NA,NA
"137",2015,"MUNICIPIO","2510808",NA,0.701,NA,NA
"138",2015,"MUNICIPIO","2510907",NA,0.659,NA,NA
"139",2015,"MUNICIPIO","2511004",NA,0.601,NA,NA
"140",2015,"MUNICIPIO","2511103",NA,0.574,NA,NA
"141",2015,"MUNICIPIO","2511202",NA,0.59,NA,NA
"142",2015,"MUNICIPIO","2511301",NA,0.621,NA,NA
"143",2015,"MUNICIPIO","2511400",NA,0.608,NA,NA
"144",2015,"MUNICIPIO","2511509",NA,0.595,NA,NA
"145",2015,"MUNICIPIO","2511608",NA,0.587,NA,NA
"146",2015,"MUNICIPIO","2511707",NA,0.564,NA,NA
"147",2015,"MUNICIPIO","2511806",NA,0.595,NA,NA
"148",2015,"MUNICIPIO","2511905",NA,0.57,NA,NA
"149",2015,"MUNICIPIO","2512002",NA,0.591,NA,NA
"150",2015,"MUNICIPIO","2512036",NA,0.525,NA,NA
"151",2015,"MUNICIPIO","2512077",NA,0.612,NA,NA
"152",2015,"MUNICIPIO","2512101",NA,0.634,NA,NA
"153",2015,"MUNICIPIO","2512200",NA,0.651,NA,NA
"154",2015,"MUNICIPIO","2512309",NA,0.606,NA,NA
"155",2015,"MUNICIPIO","2512408",NA,0.617,NA,NA
"156",2015,"MUNICIPIO","2512507",NA,0.6,NA,NA
"157",2015,"MUNICIPIO","2512606",NA,0.622,NA,NA
"158",2015,"MUNICIPIO","2512705",NA,0.607,NA,NA
"159",2015,"MUNICIPIO","2512721",NA,0.542,NA,NA
"160",2015,"MUNICIPIO","2512747",NA,0.575,NA,NA
"161",2015,"MUNICIPIO","2512754",NA,0.553,NA,NA
"162",2015,"MUNICIPIO","2512762",NA,0.555,NA,NA
"163",2015,"MUNICIPIO","2512788",NA,0.594,NA,NA
"164",2015,"MUNICIPIO","2512804",NA,0.568,NA,NA
"165",2015,"MUNICIPIO","2512903",NA,0.585,NA,NA
"166",2015,"MUNICIPIO","2513000",NA,0.548,NA,NA
"167",2015,"MUNICIPIO","2513109",NA,0.568,NA,NA
"168",2015,"MUNICIPIO","2513158",NA,0.611,NA,NA
"169",2015,"MUNICIPIO","2513208",NA,0.601,NA,NA
"170",2015,"MUNICIPIO","2513307",NA,0.663,NA,NA
"171",2015,"MUNICIPIO","2513356",NA,0.634,NA,NA
"172",2015,"MUNICIPIO","2513406",NA,0.626,NA,NA
"173",2015,"MUNICIPIO","2513505",NA,0.535,NA,NA
"174",2015,"MUNICIPIO","2513604",NA,0.594,NA,NA
"175",2015,"MUNICIPIO","2513653",NA,0.656,NA,NA
"176",2015,"MUNICIPIO","2513703",NA,0.618,NA,NA
"177",2015,"MUNICIPIO","2513802",NA,0.607,NA,NA
"178",2015,"MUNICIPIO","2513851",NA,0.708,NA,NA
