"","ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50"
"1",2015,"Paraíba",25,3972202,3766528,1824379,1942149,952881,2043189,770458,467708,1045970,428471
"2",2015,"Água Branca (PB)",2500106,10083,9449,4719,4730,2800,4813,1836,1362,2371,997
"3",2015,"Aguiar (PB)",2500205,5573,5530,2706,2824,1448,2713,1369,710,1381,733
"4",2015,"Alagoa Grande (PB)",2500304,28646,28479,13861,14618,7737,14359,6383,3784,7263,3571
"5",2015,"Alagoa Nova (PB)",2500403,20500,19681,9761,9920,5434,10127,4120,2565,5094,2261
"6",2015,"Alagoinha (PB)",2500502,14284,13576,6704,6872,3867,7035,2674,1861,3555,1456
"7",2015,"Alcantil (PB)",2500536,5451,5239,2624,2615,1383,2760,1096,680,1373,562
"8",2015,"Algodão de Jandaíra (PB)",2500577,2475,2366,1217,1149,677,1199,490,317,584,248
"9",2015,"Alhandra (PB)",2500601,19238,18007,8864,9143,5356,9980,2671,2655,5109,1379
"10",2015,"São João do Rio do Peixe (PB)",2500700,17929,18201,8940,9261,4100,9498,4603,2008,4778,2475
"11",2015,"Amparo (PB)",2500734,2212,2088,1047,1041,548,1114,426,283,547,211
"12",2015,"Aparecida (PB)",2500775,8263,7676,3796,3880,1845,3981,1850,909,1989,982
"13",2015,"Araçagi (PB)",2500809,17122,17224,8574,8650,4493,8709,4022,2192,4314,2144
"14",2015,"Arara (PB)",2500908,13355,12653,6074,6579,3208,6011,3434,1611,3024,1944
"15",2015,"Araruna (PB)",2501005,20051,18879,9324,9555,5680,9511,3688,2793,4770,1992
"16",2015,"Areia (PB)",2501104,23110,23829,11669,12160,6342,12531,4956,3156,6242,2762
"17",2015,"Areia de Baraúnas (PB)",2501153,1880,1927,963,964,505,1063,359,260,521,183
"18",2015,"Areial (PB)",2501203,6900,6470,3058,3412,1667,3302,1501,841,1705,866
"19",2015,"Aroeiras (PB)",2501302,19204,19082,9222,9860,5548,9206,4328,2786,4762,2312
"20",2015,"Assunção (PB)",2501351,3830,3522,1779,1743,974,1850,698,448,919,376
"21",2015,"Baía da Traição (PB)",2501401,8826,8012,4040,3972,2528,4291,1193,1221,2116,635
"22",2015,"Bananeiras (PB)",2501500,21235,21851,10784,11067,6063,11157,4631,2968,5622,2477
"23",2015,"Baraúna (PB)",2501534,4758,4220,2110,2110,1131,2165,924,528,1093,489
"24",2015,"Barra de Santana (PB)",2501575,8249,8206,4147,4059,2125,4072,2009,1008,2014,1037
"25",2015,"Barra de Santa Rosa (PB)",2501609,15145,14157,7085,7072,3852,7080,3225,1896,3468,1708
"26",2015,"Barra de São Miguel (PB)",2501708,5905,5611,2918,2693,1430,2878,1303,688,1339,666
"27",2015,"Bayeux (PB)",2501807,96140,99716,47736,51980,25675,57283,16758,12737,29587,9656
"28",2015,"Belém (PB)",2501906,17594,17093,8345,8748,4252,8672,4169,2074,4379,2295
"29",2015,"Belém do Brejo do Cruz (PB)",2502003,7320,7143,3607,3536,1791,3785,1567,869,1821,846
"30",2015,"Bernardino Batista (PB)",2502052,3356,3075,1476,1599,983,1490,602,485,791,323
"31",2015,"Boa Ventura (PB)",2502102,5473,5751,2899,2852,1462,3032,1257,708,1470,674
"32",2015,"Boa Vista (PB)",2502151,6884,6227,3085,3142,1530,3372,1325,753,1684,705
"33",2015,"Bom Jesus (PB)",2502201,2532,2400,1219,1181,643,1232,525,317,589,275
"34",2015,"Bom Sucesso (PB)",2502300,5007,5035,2477,2558,1144,2554,1337,556,1295,707
"35",2015,"Bonito de Santa Fé (PB)",2502409,11684,10804,5350,5454,3107,5693,2004,1532,2859,1063
"36",2015,"Boqueirão (PB)",2502508,17670,16888,8323,8565,4425,9009,3454,2168,4514,1883
"37",2015,"Igaracy (PB)",2502607,6191,6156,3019,3137,1639,3068,1449,782,1561,794
"38",2015,"Borborema (PB)",2502706,5366,5111,2558,2553,1508,2539,1064,710,1259,584
"39",2015,"Brejo do Cruz (PB)",2502805,13900,13123,6510,6613,3329,7199,2595,1617,3588,1408
"40",2015,"Brejo dos Santos (PB)",2502904,6413,6198,3094,3104,1524,3190,1484,752,1557,795
"41",2015,"Caaporã (PB)",2503001,21555,20362,10090,10272,6228,11219,2915,3083,5651,1538
"42",2015,"Cabaceiras (PB)",2503100,5449,5035,2493,2542,1261,2573,1201,634,1272,636
