"","ANO","NIVEL","CODMUNRES","TO","TORC","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TONT_B","TO_NT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_G","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC"
"1",2015,"UF","25",26422,26422,26422,3246,23176,1037,3937,7666,2884,7652,14619,11788,1280,0,491,366,125,197,113,5,0,343,2,1002,15,15,4,0,28,10,47,42,2,4,13,7,1,1
"2",2015,"MUNICIPIO","250000",24,24,24,14,10,0,3,0,1,6,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2015,"MUNICIPIO","250010",61,61,61,6,55,0,5,15,7,28,33,28,2,0,1,1,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",2015,"MUNICIPIO","250020",42,42,42,5,37,2,9,14,6,6,25,17,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2015,"MUNICIPIO","250030",244,244,244,18,226,11,34,86,26,69,122,122,11,0,2,2,0,3,0,0,0,2,0,7,0,0,0,0,1,0,1,1,0,0,0,0,0,0
"6",2015,"MUNICIPIO","250040",120,120,120,18,102,0,13,29,4,56,67,53,11,0,2,2,0,1,0,0,0,2,0,9,0,0,0,0,1,0,1,1,0,0,1,0,0,0
"7",2015,"MUNICIPIO","250050",108,108,108,14,94,4,13,35,10,32,66,42,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2015,"MUNICIPIO","250053",35,35,35,5,30,0,6,11,6,7,24,11,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2015,"MUNICIPIO","250057",15,15,15,2,13,1,2,7,0,3,11,4,0,0,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2015,"MUNICIPIO","250060",133,133,133,24,109,11,15,38,12,33,82,51,11,0,4,4,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",2015,"MUNICIPIO","250070",152,152,152,20,132,7,20,50,13,42,83,69,9,0,2,2,0,0,1,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",2015,"MUNICIPIO","250073",19,19,19,0,19,1,1,5,6,6,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",2015,"MUNICIPIO","250077",55,55,55,4,51,4,8,15,4,20,35,20,1,0,2,2,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",2015,"MUNICIPIO","250080",126,126,126,12,114,7,14,48,15,30,81,45,5,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",2015,"MUNICIPIO","250090",126,126,126,14,112,3,13,36,15,45,73,53,3,0,3,2,1,1,0,0,0,3,0,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0
"16",2015,"MUNICIPIO","250100",65,65,65,14,51,1,7,19,8,16,36,29,4,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",2015,"MUNICIPIO","250110",169,169,169,20,149,2,15,44,14,74,87,82,10,0,2,2,0,1,0,0,0,2,0,11,0,0,0,0,1,0,1,1,0,0,0,0,1,0
"18",2015,"MUNICIPIO","250115",7,7,7,1,6,0,3,2,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",2015,"MUNICIPIO","250120",44,44,44,4,40,0,10,14,2,14,29,15,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",2015,"MUNICIPIO","250130",158,158,158,23,135,3,24,42,12,54,84,74,7,0,2,2,0,3,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",2015,"MUNICIPIO","250135",26,26,26,3,23,0,4,9,4,6,11,15,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",2015,"MUNICIPIO","250140",46,46,46,9,37,3,4,16,2,12,24,22,1,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",2015,"MUNICIPIO","250150",142,142,142,19,123,5,16,41,17,44,89,53,2,0,3,2,1,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",2015,"MUNICIPIO","250153",32,32,32,7,25,2,6,9,4,4,17,15,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
