"","ANO","NIVEL","CODMUNRES","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGi_35_39","TGI_40_44","TGI_45_49","TGi_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGSC","TGCC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TPV","TPC","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOc_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_P","TRRC_I","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRP_BP","TRP_N","TRP_M","TRPIG_P","TRPIG_A","TRPIG_G","TRAPG5_B","TRAPG5_N","APG5_MD","APG5_DP","TRAC","TRSAC"
"1",2015,"UF",25,59089,0,50802,641,10868,15002,14545,11250,5374,1328,76,5,58443,NA,NA,NA,NA,NA,374,5342,17697,24409,2705,5485,7287,622,173,45950,175,21234,35728,22127,36962,57812,1121,10,219,519,5183,50012,2309,5924,49950,2307,NA,NA,NA,NA,NA,140,9912,4499,5128,35311,29552,29537,25681,33320,55638,2500,122,14628,3928,14301,3132,13092,665,1579,1127,122,4953,58566,356,92,75,0,30245,28834,7314,624,174,46055,175,NA,NA,NA,NA,NA,4203,50688,4195,3595,44927,7716,702,57938,NA,NA,538,55589
"2",2015,"MUNICIPIO",250010,111,0,84,0,18,36,28,12,15,2,0,0,111,21,25,30,25.94,6.39,1,10,39,36,2,2,14,1,0,92,0,22,85,42,69,105,6,0,0,1,5,102,2,6,101,2,38,39,40,39.12,1.95,0,11,2,10,77,88,23,65,46,106,3,0,32,1,47,0,14,2,1,6,0,5,108,1,0,2,0,61,50,15,1,0,92,0,2975,3240,3605,3240.44,554.7,7,98,6,4,89,9,5,101,9.26,1.47,0,110
"3",2015,"MUNICIPIO",250020,70,0,57,2,16,20,11,17,4,0,0,0,68,19.25,23,30,24.76,6.36,0,10,30,17,3,2,15,2,0,52,0,15,52,22,48,67,0,0,0,4,2,60,4,6,59,4,38,39,40,38.68,2.97,0,8,4,14,34,69,1,24,46,67,2,0,19,0,24,0,18,2,0,3,0,3,67,3,0,0,0,32,38,15,2,0,52,0,3041.25,3402.5,3775,3311.64,756.11,5,56,9,3,48,14,0,64,9.2,0.72,1,69
"4",2015,"MUNICIPIO",250030,367,0,319,2,79,96,84,57,36,12,1,0,365,20,25,31,25.66,7.01,6,55,127,147,12,14,7,6,0,322,0,225,132,124,243,359,6,0,0,3,38,311,10,41,311,10,38,39,40,38.66,2.04,1,74,24,41,209,339,28,210,156,353,12,0,102,6,129,10,56,0,12,6,0,39,365,0,2,0,0,185,182,7,6,0,322,0,3017.5,3310,3647.5,3306.44,540.75,20,318,29,19,273,57,6,359,9.01,0.79,6,335
"5",2015,"MUNICIPIO",250040,339,0,323,7,79,72,85,61,26,8,1,0,332,19,25,30,25.34,6.87,3,48,134,122,10,18,6,3,0,329,0,212,122,103,236,325,8,0,0,5,38,271,20,43,271,20,38,39,40,38.6,2.26,0,66,18,27,203,318,21,182,153,320,16,0,81,5,97,23,68,0,11,11,0,35,338,1,0,0,0,178,161,6,3,0,329,0,2895,3260,3667.5,3236.81,642.76,37,269,33,29,232,53,2,334,8.91,0.62,3,335
"6",2015,"MUNICIPIO",250050,244,0,19,0,51,80,56,34,19,4,0,0,244,20,24,29,24.79,6.32,4,36,72,85,3,7,3,0,0,18,0,52,151,93,151,242,0,0,0,0,16,204,24,16,204,24,38,40,40,39.35,1.88,0,54,12,18,151,243,1,113,131,235,5,1,71,14,71,17,47,2,3,0,1,15,243,0,1,0,0,123,121,3,0,0,18,0,3028.75,3325,3605,3322.67,479.52,11,219,14,13,184,34,3,239,9.62,0.77,0,62
"7",2015,"MUNICIPIO",250053,110,0,101,1,19,32,26,17,13,2,0,0,109,20,25,30,25.7,6.51,0,9,42,55,0,3,8,0,0,96,0,65,43,36,74,107,3,0,0,0,13,95,2,13,95,2,38,38,39,38.31,1.66,1,17,6,4,78,110,0,47,63,103,3,1,27,1,35,1,27,0,3,3,1,9,110,0,0,0,0,63,47,8,0,0,96,0,3006.25,3362.5,3677.5,3320.03,543.28,7,92,11,4,84,18,1,103,8.96,0.39,2,106
"8",2015,"MUNICIPIO",250057,51,0,46,0,13,12,12,11,2,1,0,0,51,19.5,25,30,24.98,6.26,0,7,21,19,0,1,0,0,1,49,0,36,14,15,36,51,0,0,0,0,2,44,5,2,43,5,39,40,41,39.7,1.95,0,5,2,5,33,51,0,30,21,47,0,0,15,0,19,1,10,0,0,0,0,2,48,2,1,0,0,24,27,0,0,1,50,0,3100,3405,3720,3406.65,591.68,4,40,7,4,35,8,0,50,9.06,0.37,1,50
"9",2015,"MUNICIPIO",250060,412,0,394,7,107,107,82,74,27,8,0,0,405,19,23.5,30,24.62,6.62,5,57,143,177,9,11,41,1,0,359,0,74,335,168,244,404,7,0,2,4,32,363,10,36,356,10,38,39,40,38.91,1.96,0,87,34,41,222,401,11,254,158,383,17,0,97,43,100,44,66,9,4,7,0,29,408,0,1,3,0,215,197,46,2,0,363,0,2953.75,3267.5,3570,3248.65,546.29,27,355,30,31,315,48,5,404,9.48,1.01,6,406
"10",2015,"MUNICIPIO",250070,175,0,157,1,29,50,40,34,15,6,0,0,174,21,25,31,26.2,6.59,2,21,65,60,9,12,40,3,0,129,0,69,105,73,102,171,4,0,0,1,15,150,7,16,150,7,38,39,40,38.87,1.93,0,19,14,21,110,174,1,56,119,166,7,0,54,9,38,4,43,0,6,4,0,13,174,1,0,0,0,83,92,40,3,0,129,0,2965,3270,3580,3245.94,501.89,10,154,11,9,139,18,2,173,9.18,0.8,0,174
"11",2015,"MUNICIPIO",250073,44,0,36,1,8,12,8,10,5,0,0,0,43,21,25.5,31,25.91,6.61,0,2,14,16,2,4,6,0,0,33,0,29,14,18,26,42,2,0,0,0,5,35,3,5,35,3,38,39,39,38.67,1.86,0,11,2,3,28,44,0,10,34,41,1,0,12,4,7,1,12,1,0,2,0,4,43,0,0,1,0,15,29,6,0,0,33,0,2945,3157,3410,3180.11,357.18,0,43,1,1,33,5,0,43,9.65,0.48,0,44
"12",2015,"MUNICIPIO",250077,127,0,111,1,20,32,37,22,11,4,0,0,126,22,25,30,26.17,6.19,0,12,53,49,4,8,27,4,6,85,0,50,68,49,78,125,2,0,0,0,12,108,7,12,108,7,38,39,40,38.87,1.79,0,20,5,16,68,127,0,31,96,118,4,0,37,5,24,6,35,3,1,2,0,11,126,0,0,1,0,63,64,27,4,6,85,0,2850,3130,3482,3146.2,592.31,11,110,6,16,98,11,1,123,9.1,0.67,1,126
"13",2015,"MUNICIPIO",250080,204,0,18,1,32,58,51,39,22,1,0,0,203,21,25,30,25.88,6.28,4,26,74,60,7,4,5,0,0,19,0,47,134,76,128,197,4,0,0,0,15,178,6,15,178,6,38,39,40,38.94,1.69,2,50,26,19,89,202,2,106,98,195,3,0,52,16,58,12,36,1,2,4,0,15,199,2,1,2,0,107,97,5,0,0,19,0,3077.5,3332.5,3645,3348.16,558.77,9,170,25,10,147,37,0,201,9.61,0.65,1,64
