"","ANO","NIVEL","CODMUNRES","POPR_RA","POPR_RE"
"1",2015,"UF","25",2915627,1327870
"2",2015,"MUNICIPIO","250010",4476,0
"3",2015,"MUNICIPIO","250020",3358,0
"4",2015,"MUNICIPIO","250030",21278,8470
"5",2015,"MUNICIPIO","250040",6899,0
"6",2015,"MUNICIPIO","250050",11100,0
"7",2015,"MUNICIPIO","250053",5425,5425
"8",2015,"MUNICIPIO","250057",0,0
"9",2015,"MUNICIPIO","250060",16276,0
"10",2015,"MUNICIPIO","250070",0,0
"11",2015,"MUNICIPIO","250073",1498,998
"12",2015,"MUNICIPIO","250077",4806,0
"13",2015,"MUNICIPIO","250080",8188,6000
"14",2015,"MUNICIPIO","250090",10429,13355
"15",2015,"MUNICIPIO","250100",11057,7880
"16",2015,"MUNICIPIO","250110",13726,0
"17",2015,"MUNICIPIO","250115",953,1412
"18",2015,"MUNICIPIO","250120",0,0
"19",2015,"MUNICIPIO","250130",0,0
"20",2015,"MUNICIPIO","250135",0,0
"21",2015,"MUNICIPIO","250140",0,0
"22",2015,"MUNICIPIO","250150",5266,0
"23",2015,"MUNICIPIO","250153",0,0
"24",2015,"MUNICIPIO","250157",891,0
"25",2015,"MUNICIPIO","250160",9491,0
"26",2015,"MUNICIPIO","250170",0,0
"27",2015,"MUNICIPIO","250180",77843,8793
"28",2015,"MUNICIPIO","250190",15553,0
"29",2015,"MUNICIPIO","250200",5130,7320
"30",2015,"MUNICIPIO","250205",0,0
"31",2015,"MUNICIPIO","250210",4357,0
"32",2015,"MUNICIPIO","250215",4861,0
"33",2015,"MUNICIPIO","250220",1811,0
"34",2015,"MUNICIPIO","250230",2158,0
"35",2015,"MUNICIPIO","250240",9026,8500
"36",2015,"MUNICIPIO","250250",11319,12462
"37",2015,"MUNICIPIO","250260",4829,0
"38",2015,"MUNICIPIO","250270",0,0
"39",2015,"MUNICIPIO","250280",10100,0
"40",2015,"MUNICIPIO","250290",5097,0
"41",2015,"MUNICIPIO","250300",14570,0
"42",2015,"MUNICIPIO","250310",2463,0
"43",2015,"MUNICIPIO","250320",65634,13074
"44",2015,"MUNICIPIO","250330",3981,0
"45",2015,"MUNICIPIO","250340",1869,0
"46",2015,"MUNICIPIO","250350",10615,0
"47",2015,"MUNICIPIO","250355",0,3400
"48",2015,"MUNICIPIO","250360",5860,0
"49",2015,"MUNICIPIO","250370",61431,9287
"50",2015,"MUNICIPIO","250375",1513,397
"51",2015,"MUNICIPIO","250380",5342,0
"52",2015,"MUNICIPIO","250390",4292,355
"53",2015,"MUNICIPIO","250400",405072,357612
"54",2015,"MUNICIPIO","250403",3101,0
"55",2015,"MUNICIPIO","250407",1918,2318
"56",2015,"MUNICIPIO","250410",0,0
"57",2015,"MUNICIPIO","250415",3210,0
"58",2015,"MUNICIPIO","250420",3358,1720
"59",2015,"MUNICIPIO","250430",22542,5803
"60",2015,"MUNICIPIO","250435",1891,0
"61",2015,"MUNICIPIO","250440",13106,7500
"62",2015,"MUNICIPIO","250450",6181,0
"63",2015,"MUNICIPIO","250460",13311,0
"64",2015,"MUNICIPIO","250470",4314,0
"65",2015,"MUNICIPIO","250480",0,0
"66",2015,"MUNICIPIO","250485",1040,0
"67",2015,"MUNICIPIO","250490",6233,0
"68",2015,"MUNICIPIO","250500",5682,645
"69",2015,"MUNICIPIO","250510",0,0
"70",2015,"MUNICIPIO","250520",6821,0
"71",2015,"MUNICIPIO","250523",2223,0
"72",2015,"MUNICIPIO","250527",5240,0
"73",2015,"MUNICIPIO","250530",0,0
"74",2015,"MUNICIPIO","250535",0,0
"75",2015,"MUNICIPIO","250540",0,0
"76",2015,"MUNICIPIO","250550",2900,0
"77",2015,"MUNICIPIO","250560",4491,3830
"78",2015,"MUNICIPIO","250570",0,0
"79",2015,"MUNICIPIO","250580",3435,0
"80",2015,"MUNICIPIO","250590",2346,0
"81",2015,"MUNICIPIO","250600",20481,0
